"","sex","DVRT","edlevel","lvcert","fathocc","schltype","logDVRT"
"1",1,113,3,0,28,1,4.72738781871234
"2",1,101,1,0,28,9,4.61512051684126
"3",1,110,9,1,69,1,4.70048036579242
"4",1,121,5,0,57,1,4.79579054559674
"5",1,82,4,0,18,2,4.40671924726425
"6",1,85,4,0,28,2,4.44265125649032
"7",1,84,1,0,0,9,4.43081679884331
"8",1,98,2,0,43,2,4.58496747867057
"9",1,92,4,0,33,2,4.52178857704904
"10",1,90,1,0,18,9,4.49980967033027
"11",1,88,4,0,28,2,4.47733681447821
"12",1,84,4,0,18,2,4.43081679884331
"13",1,114,11,1,18,1,4.7361984483945
"14",1,70,4,0,57,2,4.24849524204936
"15",1,109,9,1,40,1,4.69134788222914
"16",1,83,4,0,43,2,4.4188406077966
"17",1,108,4,0,69,2,4.68213122712422
"18",1,95,3,0,43,1,4.55387689160054
"19",1,90,4,0,28,2,4.49980967033027
"20",1,107,9,1,28,1,4.67282883446191
"21",1,86,1,0,18,9,4.45434729625351
"22",1,70,2,0,43,2,4.24849524204936
"23",1,114,9,1,0,1,4.7361984483945
"24",1,117,9,1,42,1,4.76217393479776
"25",1,112,9,1,43,1,4.71849887129509
"26",1,88,11,1,0,1,4.47733681447821
"27",1,106,11,1,42,1,4.66343909411207
"28",1,125,11,1,28,1,4.8283137373023
"29",1,94,9,1,0,1,4.54329478227
"30",1,103,5,0,0,1,4.63472898822964
"31",1,123,9,1,46,1,4.81218435537242
"32",1,100,4,0,35,2,4.60517018598809
"33",1,90,3,0,27,1,4.49980967033027
"34",1,70,4,0,51,2,4.24849524204936
"35",1,90,3,0,46,1,4.49980967033027
"36",1,99,3,0,0,1,4.59511985013459
"37",1,123,3,0,43,1,4.81218435537242
"38",1,127,9,1,43,1,4.84418708645859
"39",1,124,9,1,62,1,4.82028156560504
"40",1,110,6,0,27,2,4.70048036579242
"41",1,94,9,1,43,1,4.54329478227
"42",1,112,9,1,40,1,4.71849887129509
"43",1,123,9,1,35,1,4.81218435537242
"44",1,70,3,0,18,1,4.24849524204936
"45",1,102,4,0,43,2,4.62497281328427
"46",1,126,11,1,27,1,4.83628190695148
"47",1,121,9,1,40,1,4.79579054559674
"48",1,100,2,0,43,2,4.60517018598809
"49",1,85,2,0,31,2,4.44265125649032
"50",1,86,4,0,31,2,4.45434729625351
"51",1,101,2,0,28,2,4.61512051684126
"52",1,91,5,0,40,1,4.51085950651685
"53",1,113,9,1,43,1,4.72738781871234
"54",1,103,4,0,33,2,4.63472898822964
"55",1,117,7,0,18,1,4.76217393479776
"56",1,72,2,0,43,2,4.27666611901606
"57",1,70,1,0,18,9,4.24849524204936
"58",1,112,3,0,18,1,4.71849887129509
"59",1,65,1,0,18,9,4.17438726989564
"60",1,97,5,0,35,1,4.57471097850338
"61",1,100,4,0,43,2,4.60517018598809
"62",1,99,4,0,18,2,4.59511985013459
"63",1,91,2,0,28,2,4.51085950651685
"64",1,107,0,0,43,1,4.67282883446191
"65",1,94,2,0,43,2,4.54329478227
"66",1,104,5,0,36,1,4.64439089914137
"67",1,117,9,1,0,1,4.76217393479776
"68",1,104,5,0,43,1,4.64439089914137
"69",1,115,0,0,66,1,4.74493212836325
"70",2,123,7,0,35,1,4.81218435537242
"71",2,103,5,0,43,1,4.63472898822964
"72",2,109,4,0,43,2,4.69134788222914
"73",2,99,5,0,61,1,4.59511985013459
"74",2,100,11,1,47,1,4.60517018598809
"75",2,100,5,0,62,1,4.60517018598809
"76",2,107,9,1,40,1,4.67282883446191
"77",2,70,1,0,18,9,4.24849524204936
"78",2,91,5,0,30,1,4.51085950651685
"79",2,117,9,1,43,1,4.76217393479776
"80",2,115,9,1,57,1,4.74493212836325
"81",2,93,5,0,43,1,4.53259949315326
"82",2,103,9,1,30,1,4.63472898822964
"83",2,99,5,0,57,1,4.59511985013459
"84",2,115,3,0,36,1,4.74493212836325
"85",2,104,9,1,38,1,4.64439089914137
"86",2,116,5,0,47,1,4.75359019110636
"87",2,94,3,0,51,1,4.54329478227
"88",2,114,11,1,43,1,4.7361984483945
"89",2,113,5,0,18,1,4.72738781871234
"90",2,106,2,0,0,2,4.66343909411207
"91",2,119,9,1,57,1,4.77912349311153
"92",2,114,9,1,48,1,4.7361984483945
"93",2,108,9,1,27,1,4.68213122712422
"94",2,97,3,0,46,1,4.57471097850338
"95",2,83,1,0,28,9,4.4188406077966
"96",2,103,5,0,43,1,4.63472898822964
"97",2,104,5,0,64,1,4.64439089914137
"98",2,97,5,0,18,1,4.57471097850338
"99",2,109,5,0,69,1,4.69134788222914
"100",2,90,5,0,33,1,4.49980967033027
"101",2,114,4,0,28,2,4.7361984483945
"102",2,99,5,0,38,1,4.59511985013459
"103",2,94,9,1,35,1,4.54329478227
"104",2,86,5,0,28,1,4.45434729625351
"105",2,93,9,1,35,1,4.53259949315326
"106",2,91,4,0,28,2,4.51085950651685
"107",2,109,7,0,40,1,4.69134788222914
"108",2,91,5,0,28,1,4.51085950651685
"109",2,106,4,0,28,2,4.66343909411207
"110",2,109,9,1,43,1,4.69134788222914
"111",2,111,5,0,51,1,4.70953020131233
"112",2,111,5,0,0,1,4.70953020131233
"113",2,106,4,0,0,2,4.66343909411207
"114",2,86,4,0,40,2,4.45434729625351
"115",2,107,3,0,18,1,4.67282883446191
"116",2,103,1,0,28,9,4.63472898822964
"117",2,100,3,0,18,1,4.60517018598809
"118",2,101,5,0,38,1,4.61512051684126
"119",2,97,2,0,36,2,4.57471097850338
"120",2,105,4,0,46,2,4.65396035015752
"121",2,98,2,0,37,2,4.58496747867057
"122",2,111,5,0,18,1,4.70953020131233
"123",2,88,3,0,57,1,4.47733681447821
"124",2,123,5,0,28,1,4.81218435537242
"125",2,98,5,0,33,1,4.58496747867057
"126",2,94,4,0,43,2,4.54329478227
"127",2,109,5,0,28,1,4.69134788222914
"128",2,70,1,0,18,9,4.24849524204936
"129",2,75,2,0,33,2,4.31748811353631
"130",2,72,9,1,18,1,4.27666611901606
"131",2,70,2,0,18,2,4.24849524204936
"132",2,70,1,0,18,9,4.24849524204936
"133",2,70,1,0,18,9,4.24849524204936
"134",2,70,1,0,18,9,4.24849524204936
"135",2,85,1,0,18,9,4.44265125649032
"136",2,108,4,0,28,2,4.68213122712422
"137",2,75,2,0,28,2,4.31748811353631
"138",2,104,9,1,0,1,4.64439089914137
"139",2,103,5,0,38,1,4.63472898822964
"140",2,122,11,1,38,1,4.80402104473326
"141",2,110,9,1,40,1,4.70048036579242
"142",1,107,9,1,40,1,4.67282883446191
"143",1,104,11,1,75,1,4.64439089914137
"144",1,70,5,0,58,1,4.24849524204936
"145",1,116,0,0,18,1,4.75359019110636
"146",1,103,1,0,43,9,4.63472898822964
"147",1,95,9,1,43,1,4.55387689160054
"148",1,113,4,0,0,2,4.72738781871234
"149",1,126,2,0,61,2,4.83628190695148
"150",1,118,9,1,71,1,4.77068462446567
"151",1,115,9,1,27,1,4.74493212836325
"152",1,89,2,0,43,2,4.48863636973214
"153",1,113,11,1,61,1,4.72738781871234
"154",1,85,9,1,37,1,4.44265125649032
"155",1,95,9,1,43,1,4.55387689160054
"156",1,109,11,1,57,1,4.69134788222914
"157",1,111,9,1,69,1,4.70953020131233
"158",1,116,9,1,75,1,4.75359019110636
"159",1,90,6,0,43,2,4.49980967033027
"160",1,90,2,0,28,2,4.49980967033027
"161",1,82,1,0,31,9,4.40671924726425
"162",1,84,0,0,33,1,4.43081679884331
"163",1,117,6,0,28,2,4.76217393479776
"164",1,71,6,0,40,2,4.26267987704132
"165",1,104,10,1,69,1,4.64439089914137
"166",1,86,2,0,18,2,4.45434729625351
"167",1,79,4,0,46,2,4.36944785246702
"168",1,80,4,0,65,2,4.38202663467388
"169",1,99,9,1,18,1,4.59511985013459
"170",1,86,2,0,61,2,4.45434729625351
"171",1,116,11,1,18,1,4.75359019110636
"172",1,124,9,1,65,1,4.82028156560504
"173",1,98,1,0,28,9,4.58496747867057
"174",1,101,5,0,35,1,4.61512051684126
"175",1,87,1,0,43,9,4.46590811865458
"176",1,97,11,1,40,1,4.57471097850338
"177",1,120,11,1,43,1,4.78749174278205
"178",1,103,9,1,43,1,4.63472898822964
"179",1,107,9,1,40,1,4.67282883446191
"180",1,105,7,0,57,1,4.65396035015752
"181",1,99,8,1,37,2,4.59511985013459
"182",1,103,8,1,28,2,4.63472898822964
"183",1,101,3,0,28,1,4.61512051684126
"184",2,102,5,0,18,1,4.62497281328427
"185",2,105,8,1,18,2,4.65396035015752
"186",2,70,2,0,18,2,4.24849524204936
"187",2,101,11,1,43,1,4.61512051684126
"188",2,90,8,1,42,2,4.49980967033027
"189",2,85,9,1,43,1,4.44265125649032
"190",2,104,9,1,18,1,4.64439089914137
"191",2,87,8,1,18,2,4.46590811865458
"192",2,85,9,1,37,1,4.44265125649032
"193",2,102,4,0,42,2,4.62497281328427
"194",2,94,5,0,37,1,4.54329478227
"195",2,93,9,1,37,1,4.53259949315326
"196",2,99,11,1,37,1,4.59511985013459
"197",2,103,9,1,38,1,4.63472898822964
"198",2,89,5,0,18,1,4.48863636973214
"199",2,77,1,0,0,9,4.34380542185368
"200",2,92,4,0,37,2,4.52178857704904
"201",2,109,9,1,43,1,4.69134788222914
"202",2,91,5,0,18,1,4.51085950651685
"203",2,109,9,1,58,1,4.69134788222914
"204",2,105,3,0,57,1,4.65396035015752
"205",2,105,9,1,18,1,4.65396035015752
"206",2,90,5,0,69,1,4.49980967033027
"207",2,99,11,1,69,1,4.59511985013459
"208",2,110,9,1,37,1,4.70048036579242
"209",2,88,9,1,37,1,4.47733681447821
"210",2,101,9,1,66,1,4.61512051684126
"211",2,91,2,0,18,2,4.51085950651685
"212",2,78,9,1,18,1,4.35670882668959
"213",2,118,11,1,65,1,4.77068462446567
"214",2,100,1,0,28,9,4.60517018598809
"215",2,100,4,0,18,2,4.60517018598809
"216",2,85,9,1,57,1,4.44265125649032
"217",2,106,11,1,61,1,4.66343909411207
"218",2,70,2,0,0,2,4.24849524204936
"219",2,97,2,0,18,2,4.57471097850338
"220",2,86,1,0,0,9,4.45434729625351
"221",2,92,2,0,18,2,4.52178857704904
"222",2,102,1,0,38,9,4.62497281328427
"223",2,86,2,0,18,2,4.45434729625351
"224",2,78,9,1,46,1,4.35670882668959
"225",2,100,2,0,18,2,4.60517018598809
"226",1,104,9,1,61,1,4.64439089914137
"227",1,70,5,0,31,1,4.24849524204936
"228",1,107,9,1,75,1,4.67282883446191
"229",1,114,9,1,37,1,4.7361984483945
"230",1,103,2,0,31,2,4.63472898822964
"231",1,115,5,0,37,1,4.74493212836325
"232",1,106,9,1,57,1,4.66343909411207
"233",1,114,9,1,61,1,4.7361984483945
"234",1,90,9,1,58,1,4.49980967033027
"235",1,103,9,1,37,1,4.63472898822964
"236",1,92,3,0,58,1,4.52178857704904
"237",1,113,11,1,37,1,4.72738781871234
"238",1,92,5,0,37,1,4.52178857704904
"239",1,108,11,1,37,1,4.68213122712422
"240",1,96,3,0,18,1,4.56434819146784
"241",1,70,3,0,18,1,4.24849524204936
"242",1,112,9,1,75,1,4.71849887129509
"243",1,106,9,1,28,1,4.66343909411207
"244",1,91,9,1,37,1,4.51085950651685
"245",1,96,4,0,18,2,4.56434819146784
"246",1,70,1,0,18,9,4.24849524204936
"247",1,109,9,1,57,1,4.69134788222914
"248",1,74,4,0,37,2,4.30406509320417
"249",1,99,3,0,43,1,4.59511985013459
"250",1,107,9,1,37,1,4.67282883446191
"251",1,90,5,0,37,1,4.49980967033027
"252",1,78,4,0,31,2,4.35670882668959
"253",1,70,1,0,37,9,4.24849524204936
"254",1,88,2,0,58,2,4.47733681447821
"255",1,93,4,0,18,2,4.53259949315326
"256",1,88,2,0,43,2,4.47733681447821
"257",1,108,9,1,58,1,4.68213122712422
"258",1,101,11,1,57,1,4.61512051684126
"259",1,98,2,0,28,2,4.58496747867057
"260",1,103,9,1,35,1,4.63472898822964
"261",1,73,9,1,37,1,4.29045944114839
"262",1,109,0,0,43,1,4.69134788222914
"263",1,102,4,0,37,2,4.62497281328427
"264",1,93,2,0,37,2,4.53259949315326
"265",1,93,2,0,18,2,4.53259949315326
"266",1,101,9,1,61,1,4.61512051684126
"267",1,100,6,0,37,2,4.60517018598809
"268",1,70,1,0,31,9,4.24849524204936
"269",1,102,2,0,18,2,4.62497281328427
"270",1,113,4,0,28,2,4.72738781871234
"271",1,91,5,0,37,1,4.51085950651685
"272",1,109,5,0,37,1,4.69134788222914
"273",1,80,1,0,58,9,4.38202663467388
"274",1,118,8,1,18,2,4.77068462446567
"275",1,70,1,0,58,9,4.24849524204936
"276",1,88,4,0,37,2,4.47733681447821
"277",1,72,4,0,37,2,4.27666611901606
"278",1,81,9,1,58,1,4.39444915467244
"279",1,70,2,0,37,2,4.24849524204936
"280",1,97,2,0,18,2,4.57471097850338
"281",1,87,9,1,40,1,4.46590811865458
"282",1,99,4,0,18,2,4.59511985013459
"283",1,81,1,0,18,9,4.39444915467244
"284",1,84,4,0,18,2,4.43081679884331
"285",1,90,2,0,58,2,4.49980967033027
"286",1,95,9,1,37,1,4.55387689160054
"287",1,84,2,0,61,2,4.43081679884331
"288",1,104,6,0,40,2,4.64439089914137
"289",1,105,2,0,31,2,4.65396035015752
"290",1,107,3,0,58,1,4.67282883446191
"291",1,84,2,0,40,2,4.43081679884331
"292",1,108,4,0,0,2,4.68213122712422
"293",1,70,6,0,18,2,4.24849524204936
"294",1,99,11,1,37,1,4.59511985013459
"295",1,87,9,1,18,1,4.46590811865458
"296",1,81,1,0,18,9,4.39444915467244
"297",1,103,9,1,43,1,4.63472898822964
"298",1,114,9,1,37,1,4.7361984483945
"299",1,101,9,1,35,1,4.61512051684126
"300",1,70,1,0,58,9,4.24849524204936
"301",1,70,4,0,0,2,4.24849524204936
"302",1,109,9,1,0,1,4.69134788222914
"303",1,78,8,1,58,2,4.35670882668959
"304",1,70,1,0,37,9,4.24849524204936
"305",1,70,4,0,58,2,4.24849524204936
"306",1,104,9,1,37,1,4.64439089914137
"307",1,86,1,0,18,9,4.45434729625351
"308",1,99,4,0,35,2,4.59511985013459
"309",1,98,4,0,58,2,4.58496747867057
"310",1,118,4,0,18,2,4.77068462446567
"311",1,76,2,0,0,2,4.33073334028633
"312",1,102,3,0,18,1,4.62497281328427
"313",1,106,4,0,37,2,4.66343909411207
"314",1,108,4,0,35,2,4.68213122712422
"315",1,110,6,0,37,2,4.70048036579242
"316",1,110,4,0,37,2,4.70048036579242
"317",1,89,6,0,28,2,4.48863636973214
"318",1,83,4,0,18,2,4.4188406077966
"319",1,96,5,0,37,1,4.56434819146784
"320",1,113,11,1,65,1,4.72738781871234
"321",1,95,9,1,37,1,4.55387689160054
"322",1,108,4,0,38,2,4.68213122712422
"323",1,96,5,0,28,1,4.56434819146784
"324",1,79,7,0,61,1,4.36944785246702
"325",2,99,5,0,37,1,4.59511985013459
"326",2,107,11,1,37,1,4.67282883446191
"327",2,94,2,0,37,2,4.54329478227
"328",2,88,5,0,37,1,4.47733681447821
"329",2,82,5,0,57,1,4.40671924726425
"330",2,100,9,1,57,1,4.60517018598809
"331",2,102,9,1,40,1,4.62497281328427
"332",2,111,9,1,58,1,4.70953020131233
"333",2,111,9,1,57,1,4.70953020131233
"334",2,94,1,0,58,9,4.54329478227
"335",2,94,9,1,18,1,4.54329478227
"336",2,93,4,0,18,2,4.53259949315326
"337",2,90,9,1,58,1,4.49980967033027
"338",2,84,5,0,18,1,4.43081679884331
"339",2,100,4,0,27,2,4.60517018598809
"340",2,106,9,1,51,1,4.66343909411207
"341",2,114,10,1,57,1,4.7361984483945
"342",2,101,9,1,0,1,4.61512051684126
"343",2,115,9,1,43,1,4.74493212836325
"344",2,108,9,1,58,1,4.68213122712422
"345",2,117,11,1,51,1,4.76217393479776
"346",2,110,5,0,28,1,4.70048036579242
"347",2,93,9,1,43,1,4.53259949315326
"348",2,114,11,1,0,1,4.7361984483945
"349",2,72,1,0,0,9,4.27666611901606
"350",2,116,9,1,0,1,4.75359019110636
"351",2,117,11,1,37,1,4.76217393479776
"352",2,102,9,1,40,1,4.62497281328427
"353",2,84,9,1,18,1,4.43081679884331
"354",2,94,3,0,28,1,4.54329478227
"355",2,81,9,1,37,1,4.39444915467244
"356",2,101,5,0,18,1,4.61512051684126
"357",2,91,9,1,37,1,4.51085950651685
"358",2,93,9,1,38,1,4.53259949315326
"359",2,116,9,1,18,1,4.75359019110636
"360",2,90,9,1,57,1,4.49980967033027
"361",2,115,9,1,35,1,4.74493212836325
"362",2,89,1,0,18,9,4.48863636973214
"363",2,108,11,1,37,1,4.68213122712422
"364",2,100,9,1,18,1,4.60517018598809
"365",2,86,4,0,37,2,4.45434729625351
"366",2,84,5,0,37,1,4.43081679884331
"367",2,90,4,0,37,2,4.49980967033027
"368",2,103,11,1,28,1,4.63472898822964
"369",2,100,9,1,57,1,4.60517018598809
"370",2,102,9,1,43,1,4.62497281328427
"371",2,82,5,0,35,1,4.40671924726425
"372",2,83,5,0,37,1,4.4188406077966
"373",2,113,9,1,37,1,4.72738781871234
"374",2,117,11,1,57,1,4.76217393479776
"375",2,111,9,1,18,1,4.70953020131233
"376",2,100,9,1,37,1,4.60517018598809
"377",2,91,11,1,58,1,4.51085950651685
"378",2,97,9,1,58,1,4.57471097850338
"379",2,109,10,1,43,1,4.69134788222914
"380",2,100,3,0,37,1,4.60517018598809
"381",2,98,5,0,37,1,4.58496747867057
"382",2,85,7,0,35,1,4.44265125649032
"383",2,91,1,0,18,9,4.51085950651685
"384",2,85,5,0,31,1,4.44265125649032
"385",2,81,9,1,37,1,4.39444915467244
"386",2,87,9,1,37,1,4.46590811865458
"387",2,95,11,1,37,1,4.55387689160054
"388",2,102,3,0,37,1,4.62497281328427
"389",2,94,1,0,38,9,4.54329478227
"390",2,89,7,0,37,1,4.48863636973214
"391",2,112,2,0,37,2,4.71849887129509
"392",2,118,9,1,37,1,4.77068462446567
"393",2,70,7,0,37,1,4.24849524204936
"394",2,103,11,1,37,1,4.63472898822964
"395",2,90,9,1,37,1,4.49980967033027
"396",2,97,9,1,37,1,4.57471097850338
"397",2,104,6,0,37,2,4.64439089914137
"398",2,91,2,0,37,2,4.51085950651685
"399",2,94,4,0,37,2,4.54329478227
"400",2,107,3,0,57,1,4.67282883446191
"401",2,90,3,0,37,1,4.49980967033027
"402",2,70,9,1,37,1,4.24849524204936
"403",2,97,4,0,37,2,4.57471097850338
"404",2,104,5,0,18,1,4.64439089914137
"405",2,96,5,0,28,1,4.56434819146784
"406",2,81,2,0,18,2,4.39444915467244
"407",2,114,9,1,28,1,4.7361984483945
"408",2,106,4,0,18,2,4.66343909411207
"409",2,105,9,1,18,1,4.65396035015752
"410",2,92,2,0,28,2,4.52178857704904
"411",2,96,9,1,38,1,4.56434819146784
"412",2,84,4,0,18,2,4.43081679884331
"413",2,89,2,0,18,2,4.48863636973214
"414",2,111,9,1,58,1,4.70953020131233
"415",2,102,4,0,18,2,4.62497281328427
"416",2,99,4,0,37,2,4.59511985013459
"417",2,104,3,0,37,1,4.64439089914137
"418",2,70,4,0,31,2,4.24849524204936
"419",2,70,4,0,35,2,4.24849524204936
"420",2,90,2,0,18,2,4.49980967033027
"421",2,104,9,1,18,1,4.64439089914137
"422",2,102,9,1,37,1,4.62497281328427
"423",2,86,9,1,37,1,4.45434729625351
"424",2,73,9,1,35,1,4.29045944114839
"425",2,81,5,0,37,1,4.39444915467244
"426",2,93,9,1,57,1,4.53259949315326
"427",2,111,7,0,37,1,4.70953020131233
"428",2,104,3,0,18,1,4.64439089914137
"429",2,105,5,0,28,1,4.65396035015752
"430",2,73,5,0,37,1,4.29045944114839
"431",2,85,9,1,28,1,4.44265125649032
"432",2,107,11,1,61,1,4.67282883446191
"433",2,112,11,1,62,1,4.71849887129509
"434",1,127,11,1,40,1,4.84418708645859
"435",1,114,5,0,66,1,4.7361984483945
"436",1,114,9,1,71,1,4.7361984483945
"437",1,109,2,0,18,2,4.69134788222914
"438",1,93,9,1,51,1,4.53259949315326
"439",2,114,9,1,40,1,4.7361984483945
"440",2,100,9,1,31,1,4.60517018598809
"441",2,92,3,0,18,1,4.52178857704904
"442",2,110,9,1,61,1,4.70048036579242
"443",2,93,4,0,37,2,4.53259949315326
"444",2,96,2,0,43,2,4.56434819146784
"445",1,120,0,0,75,1,4.78749174278205
"446",1,114,11,1,75,1,4.7361984483945
"447",1,127,11,1,40,1,4.84418708645859
"448",1,106,9,1,75,1,4.66343909411207
"449",1,110,9,1,53,1,4.70048036579242
"450",1,92,6,0,38,2,4.52178857704904
"451",1,125,11,1,71,1,4.8283137373023
"452",1,108,9,1,71,1,4.68213122712422
"453",2,112,9,1,18,1,4.71849887129509
"454",2,93,9,1,69,1,4.53259949315326
"455",2,114,9,1,75,1,4.7361984483945
"456",2,104,9,1,18,1,4.64439089914137
"457",2,92,9,1,75,1,4.52178857704904
"458",2,104,5,0,43,1,4.64439089914137
"459",2,109,9,1,71,1,4.69134788222914
"460",2,109,11,1,40,1,4.69134788222914
"461",2,104,5,0,18,1,4.64439089914137
"462",1,123,6,0,36,2,4.81218435537242
"463",1,125,11,1,31,1,4.8283137373023
"464",1,127,11,1,37,1,4.84418708645859
"465",1,129,11,1,43,1,4.85981240436167
"466",1,119,10,1,69,1,4.77912349311153
"467",1,125,4,0,71,2,4.8283137373023
"468",1,121,9,1,37,1,4.79579054559674
"469",1,124,9,1,36,1,4.82028156560504
"470",1,125,9,1,18,1,4.8283137373023
"471",1,129,5,0,18,1,4.85981240436167
"472",1,122,9,1,62,1,4.80402104473326
"473",1,121,10,1,37,1,4.79579054559674
"474",1,129,10,1,0,1,4.85981240436167
"475",1,122,9,1,40,1,4.80402104473326
"476",1,126,4,0,51,2,4.83628190695148
"477",1,122,11,1,35,1,4.80402104473326
"478",1,123,9,1,65,1,4.81218435537242
"479",1,119,11,1,71,1,4.77912349311153
"480",2,120,11,1,40,1,4.78749174278205
"481",2,127,2,0,35,2,4.84418708645859
"482",2,127,9,1,62,1,4.84418708645859
"483",2,120,9,1,61,1,4.78749174278205
"484",2,127,9,1,58,1,4.84418708645859
"485",2,123,9,1,37,1,4.81218435537242
"486",2,120,11,1,37,1,4.78749174278205
"487",2,123,9,1,37,1,4.81218435537242
"488",2,122,4,0,18,2,4.80402104473326
"489",2,119,11,1,37,1,4.77912349311153
"490",1,130,6,0,0,2,4.86753445045558
"491",1,134,10,1,62,1,4.89783979995091
"492",1,136,11,1,61,1,4.91265488573605
"493",1,135,11,1,61,1,4.90527477843843
"494",1,140,11,1,71,1,4.9416424226093
"495",1,131,9,1,30,1,4.87519732320115
"496",1,137,11,1,62,1,4.91998092582813
"497",1,136,11,1,18,1,4.91265488573605
"498",1,132,11,1,37,1,4.88280192258637
"499",2,135,11,1,62,1,4.90527477843843
"500",2,134,11,1,0,1,4.89783979995091
