"location","species","sample.size","success","failure"
"australia",1,12,1,0
"australia",1,12,1,0
"australia",1,12,0,1
"australia",1,12,0,1
"australia",1,12,0,1
"australia",1,12,0,1
"australia",1,12,0,1
"australia",1,12,0,1
"australia",1,12,0,1
"australia",1,12,0,1
"australia",1,12,0,1
"australia",1,12,0,1
"australia",2,12,1,0
"australia",2,12,1,0
"australia",2,12,1,0
"australia",2,12,1,0
"australia",2,12,1,0
"australia",2,12,1,0
"australia",2,12,1,0
"australia",2,12,0,1
"australia",2,12,0,1
"australia",2,12,0,1
"australia",2,12,0,1
"australia",2,12,0,1
"australia",3,12,1,0
"australia",3,12,1,0
"australia",3,12,0,1
"australia",3,12,0,1
"australia",3,12,0,1
"australia",3,12,0,1
"australia",3,12,0,1
"australia",3,12,0,1
"australia",3,12,0,1
"australia",3,12,0,1
"australia",3,12,0,1
"australia",3,12,0,1
"australia",4,12,1,0
"australia",4,12,1,0
"australia",4,12,0,1
"australia",4,12,0,1
"australia",4,12,0,1
"australia",4,12,0,1
"australia",4,12,0,1
"australia",4,12,0,1
"australia",4,12,0,1
"australia",4,12,0,1
"australia",4,12,0,1
"australia",4,12,0,1
"australia",5,12,1,0
"australia",5,12,1,0
"australia",5,12,1,0
"australia",5,12,1,0
"australia",5,12,1,0
"australia",5,12,0,1
"australia",5,12,0,1
"australia",5,12,0,1
"australia",5,12,0,1
"australia",5,12,0,1
"australia",5,12,0,1
"australia",5,12,0,1
"australia",6,12,1,0
"australia",6,12,1,0
"australia",6,12,1,0
"australia",6,12,1,0
"australia",6,12,0,1
"australia",6,12,0,1
"australia",6,12,0,1
"australia",6,12,0,1
"australia",6,12,0,1
"australia",6,12,0,1
"australia",6,12,0,1
"australia",6,12,0,1
"australia",7,12,1,0
"australia",7,12,0,1
"australia",7,12,0,1
"australia",7,12,0,1
"australia",7,12,0,1
"australia",7,12,0,1
"australia",7,12,0,1
"australia",7,12,0,1
"australia",7,12,0,1
"australia",7,12,0,1
"australia",7,12,0,1
"australia",7,12,0,1
"australia",8,12,1,0
"australia",8,12,1,0
"australia",8,12,0,1
"australia",8,12,0,1
"australia",8,12,0,1
"australia",8,12,0,1
"australia",8,12,0,1
"australia",8,12,0,1
"australia",8,12,0,1
"australia",8,12,0,1
"australia",8,12,0,1
"australia",8,12,0,1
"australia",9,12,1,0
"australia",9,12,1,0
"australia",9,12,0,1
"australia",9,12,0,1
"australia",9,12,0,1
"australia",9,12,0,1
"australia",9,12,0,1
"australia",9,12,0,1
"australia",9,12,0,1
"australia",9,12,0,1
"australia",9,12,0,1
"australia",9,12,0,1
"australia",10,12,1,0
"australia",10,12,0,1
"australia",10,12,0,1
"australia",10,12,0,1
"australia",10,12,0,1
"australia",10,12,0,1
"australia",10,12,0,1
"australia",10,12,0,1
"australia",10,12,0,1
"australia",10,12,0,1
"australia",10,12,0,1
"australia",10,12,0,1
"australia",11,12,1,0
"australia",11,12,1,0
"australia",11,12,1,0
"australia",11,12,1,0
"australia",11,12,1,0
"australia",11,12,0,1
"australia",11,12,0,1
"australia",11,12,0,1
"australia",11,12,0,1
"australia",11,12,0,1
"australia",11,12,0,1
"australia",11,12,0,1
"australia",12,12,1,0
"australia",12,12,1,0
"australia",12,12,0,1
"australia",12,12,0,1
"australia",12,12,0,1
"australia",12,12,0,1
"australia",12,12,0,1
"australia",12,12,0,1
"australia",12,12,0,1
"australia",12,12,0,1
"australia",12,12,0,1
"australia",12,12,0,1
"australia",13,12,1,0
"australia",13,12,0,1
"australia",13,12,0,1
"australia",13,12,0,1
"australia",13,12,0,1
"australia",13,12,0,1
"australia",13,12,0,1
"australia",13,12,0,1
"australia",13,12,0,1
"australia",13,12,0,1
"australia",13,12,0,1
"australia",13,12,0,1
"australia",14,12,1,0
"australia",14,12,1,0
"australia",14,12,1,0
"australia",14,12,0,1
"australia",14,12,0,1
"australia",14,12,0,1
"australia",14,12,0,1
"australia",14,12,0,1
"australia",14,12,0,1
"australia",14,12,0,1
"australia",14,12,0,1
"australia",14,12,0,1
"australia",15,12,1,0
"australia",15,12,1,0
"australia",15,12,1,0
"australia",15,12,1,0
"australia",15,12,0,1
"australia",15,12,0,1
"australia",15,12,0,1
"australia",15,12,0,1
"australia",15,12,0,1
"australia",15,12,0,1
"australia",15,12,0,1
"australia",15,12,0,1
"canada",16,12,1,0
"canada",16,12,1,0
"canada",16,12,1,0
"canada",16,12,1,0
"canada",16,12,0,1
"canada",16,12,0,1
"canada",16,12,0,1
"canada",16,12,0,1
"canada",16,12,0,1
"canada",16,12,0,1
"canada",16,12,0,1
"canada",16,12,0,1
"canada",17,12,1,0
"canada",17,12,1,0
"canada",17,12,1,0
"canada",17,12,1,0
"canada",17,12,1,0
"canada",17,12,1,0
"canada",17,12,0,1
"canada",17,12,0,1
"canada",17,12,0,1
"canada",17,12,0,1
"canada",17,12,0,1
"canada",17,12,0,1
"canada",18,12,1,0
"canada",18,12,1,0
"canada",18,12,1,0
"canada",18,12,0,1
"canada",18,12,0,1
"canada",18,12,0,1
"canada",18,12,0,1
"canada",18,12,0,1
"canada",18,12,0,1
"canada",18,12,0,1
"canada",18,12,0,1
"canada",18,12,0,1
"canada",19,12,1,0
"canada",19,12,1,0
"canada",19,12,1,0
"canada",19,12,0,1
"canada",19,12,0,1
"canada",19,12,0,1
"canada",19,12,0,1
"canada",19,12,0,1
"canada",19,12,0,1
"canada",19,12,0,1
"canada",19,12,0,1
"canada",19,12,0,1
"canada",20,12,1,0
"canada",20,12,1,0
"canada",20,12,1,0
"canada",20,12,1,0
"canada",20,12,1,0
"canada",20,12,1,0
"canada",20,12,1,0
"canada",20,12,1,0
"canada",20,12,1,0
"canada",20,12,0,1
"canada",20,12,0,1
"canada",20,12,0,1
"canada",21,12,1,0
"canada",21,12,1,0
"canada",21,12,1,0
"canada",21,12,1,0
"canada",21,12,1,0
"canada",21,12,0,1
"canada",21,12,0,1
"canada",21,12,0,1
"canada",21,12,0,1
"canada",21,12,0,1
"canada",21,12,0,1
"canada",21,12,0,1
"canada",22,12,1,0
"canada",22,12,1,0
"canada",22,12,1,0
"canada",22,12,1,0
"canada",22,12,1,0
"canada",22,12,1,0
"canada",22,12,1,0
"canada",22,12,0,1
"canada",22,12,0,1
"canada",22,12,0,1
"canada",22,12,0,1
"canada",22,12,0,1
"canada",23,12,1,0
"canada",23,12,1,0
"canada",23,12,1,0
"canada",23,12,0,1
"canada",23,12,0,1
"canada",23,12,0,1
"canada",23,12,0,1
"canada",23,12,0,1
"canada",23,12,0,1
"canada",23,12,0,1
"canada",23,12,0,1
"canada",23,12,0,1
"canada",24,12,1,0
"canada",24,12,1,0
"canada",24,12,1,0
"canada",24,12,1,0
"canada",24,12,1,0
"canada",24,12,1,0
"canada",24,12,0,1
"canada",24,12,0,1
"canada",24,12,0,1
"canada",24,12,0,1
"canada",24,12,0,1
"canada",24,12,0,1
"canada",25,12,1,0
"canada",25,12,1,0
"canada",25,12,0,1
"canada",25,12,0,1
"canada",25,12,0,1
"canada",25,12,0,1
"canada",25,12,0,1
"canada",25,12,0,1
"canada",25,12,0,1
"canada",25,12,0,1
"canada",25,12,0,1
"canada",25,12,0,1
"canada",26,12,1,0
"canada",26,12,1,0
"canada",26,12,0,1
"canada",26,12,0,1
"canada",26,12,0,1
"canada",26,12,0,1
"canada",26,12,0,1
"canada",26,12,0,1
"canada",26,12,0,1
"canada",26,12,0,1
"canada",26,12,0,1
"canada",26,12,0,1
"canada",27,12,1,0
"canada",27,12,1,0
"canada",27,12,1,0
"canada",27,12,1,0
"canada",27,12,1,0
"canada",27,12,0,1
"canada",27,12,0,1
"canada",27,12,0,1
"canada",27,12,0,1
"canada",27,12,0,1
"canada",27,12,0,1
"canada",27,12,0,1
"canada",28,12,1,0
"canada",28,12,1,0
"canada",28,12,0,1
"canada",28,12,0,1
"canada",28,12,0,1
"canada",28,12,0,1
"canada",28,12,0,1
"canada",28,12,0,1
"canada",28,12,0,1
"canada",28,12,0,1
"canada",28,12,0,1
"canada",28,12,0,1
"canada",29,12,1,0
"canada",29,12,1,0
"canada",29,12,1,0
"canada",29,12,1,0
"canada",29,12,1,0
"canada",29,12,1,0
"canada",29,12,1,0
"canada",29,12,1,0
"canada",29,12,0,1
"canada",29,12,0,1
"canada",29,12,0,1
"canada",29,12,0,1
"canada",30,12,1,0
"canada",30,12,1,0
"canada",30,12,1,0
"canada",30,12,0,1
"canada",30,12,0,1
"canada",30,12,0,1
"canada",30,12,0,1
"canada",30,12,0,1
"canada",30,12,0,1
"canada",30,12,0,1
"canada",30,12,0,1
"canada",30,12,0,1
"argentina",31,12,1,0
"argentina",31,12,1,0
"argentina",31,12,1,0
"argentina",31,12,1,0
"argentina",31,12,1,0
"argentina",31,12,1,0
"argentina",31,12,1,0
"argentina",31,12,1,0
"argentina",31,12,1,0
"argentina",31,12,0,1
"argentina",31,12,0,1
"argentina",31,12,0,1
"argentina",32,12,1,0
"argentina",32,12,1,0
"argentina",32,12,1,0
"argentina",32,12,0,1
"argentina",32,12,0,1
"argentina",32,12,0,1
"argentina",32,12,0,1
"argentina",32,12,0,1
"argentina",32,12,0,1
"argentina",32,12,0,1
"argentina",32,12,0,1
"argentina",32,12,0,1
"argentina",33,12,1,0
"argentina",33,12,1,0
"argentina",33,12,0,1
"argentina",33,12,0,1
"argentina",33,12,0,1
"argentina",33,12,0,1
"argentina",33,12,0,1
"argentina",33,12,0,1
"argentina",33,12,0,1
"argentina",33,12,0,1
"argentina",33,12,0,1
"argentina",33,12,0,1
"argentina",34,12,1,0
"argentina",34,12,1,0
"argentina",34,12,1,0
"argentina",34,12,1,0
"argentina",34,12,1,0
"argentina",34,12,1,0
"argentina",34,12,0,1
"argentina",34,12,0,1
"argentina",34,12,0,1
"argentina",34,12,0,1
"argentina",34,12,0,1
"argentina",34,12,0,1
"argentina",35,12,1,0
"argentina",35,12,0,1
"argentina",35,12,0,1
"argentina",35,12,0,1
"argentina",35,12,0,1
"argentina",35,12,0,1
"argentina",35,12,0,1
"argentina",35,12,0,1
"argentina",35,12,0,1
"argentina",35,12,0,1
"argentina",35,12,0,1
"argentina",35,12,0,1
"argentina",36,12,1,0
"argentina",36,12,1,0
"argentina",36,12,1,0
"argentina",36,12,1,0
"argentina",36,12,1,0
"argentina",36,12,1,0
"argentina",36,12,0,1
"argentina",36,12,0,1
"argentina",36,12,0,1
"argentina",36,12,0,1
"argentina",36,12,0,1
"argentina",36,12,0,1
"argentina",37,12,1,0
"argentina",37,12,0,1
"argentina",37,12,0,1
"argentina",37,12,0,1
"argentina",37,12,0,1
"argentina",37,12,0,1
"argentina",37,12,0,1
"argentina",37,12,0,1
"argentina",37,12,0,1
"argentina",37,12,0,1
"argentina",37,12,0,1
"argentina",37,12,0,1
"argentina",38,12,1,0
"argentina",38,12,1,0
"argentina",38,12,1,0
"argentina",38,12,1,0
"argentina",38,12,1,0
"argentina",38,12,1,0
"argentina",38,12,1,0
"argentina",38,12,0,1
"argentina",38,12,0,1
"argentina",38,12,0,1
"argentina",38,12,0,1
"argentina",38,12,0,1
"argentina",39,12,1,0
"argentina",39,12,1,0
"argentina",39,12,1,0
"argentina",39,12,1,0
"argentina",39,12,1,0
"argentina",39,12,0,1
"argentina",39,12,0,1
"argentina",39,12,0,1
"argentina",39,12,0,1
"argentina",39,12,0,1
"argentina",39,12,0,1
"argentina",39,12,0,1
"argentina",40,12,1,0
"argentina",40,12,1,0
"argentina",40,12,1,0
"argentina",40,12,1,0
"argentina",40,12,1,0
"argentina",40,12,0,1
"argentina",40,12,0,1
"argentina",40,12,0,1
"argentina",40,12,0,1
"argentina",40,12,0,1
"argentina",40,12,0,1
"argentina",40,12,0,1
"argentina",41,12,1,0
"argentina",41,12,1,0
"argentina",41,12,1,0
"argentina",41,12,1,0
"argentina",41,12,1,0
"argentina",41,12,1,0
"argentina",41,12,1,0
"argentina",41,12,1,0
"argentina",41,12,1,0
"argentina",41,12,1,0
"argentina",41,12,0,1
"argentina",41,12,0,1
"argentina",42,12,1,0
"argentina",42,12,1,0
"argentina",42,12,1,0
"argentina",42,12,0,1
"argentina",42,12,0,1
"argentina",42,12,0,1
"argentina",42,12,0,1
"argentina",42,12,0,1
"argentina",42,12,0,1
"argentina",42,12,0,1
"argentina",42,12,0,1
"argentina",42,12,0,1
"argentina",43,12,1,0
"argentina",43,12,1,0
"argentina",43,12,1,0
"argentina",43,12,0,1
"argentina",43,12,0,1
"argentina",43,12,0,1
"argentina",43,12,0,1
"argentina",43,12,0,1
"argentina",43,12,0,1
"argentina",43,12,0,1
"argentina",43,12,0,1
"argentina",43,12,0,1
"argentina",44,12,1,0
"argentina",44,12,1,0
"argentina",44,12,1,0
"argentina",44,12,1,0
"argentina",44,12,0,1
"argentina",44,12,0,1
"argentina",44,12,0,1
"argentina",44,12,0,1
"argentina",44,12,0,1
"argentina",44,12,0,1
"argentina",44,12,0,1
"argentina",44,12,0,1
"argentina",45,12,1,0
"argentina",45,12,0,1
"argentina",45,12,0,1
"argentina",45,12,0,1
"argentina",45,12,0,1
"argentina",45,12,0,1
"argentina",45,12,0,1
"argentina",45,12,0,1
"argentina",45,12,0,1
"argentina",45,12,0,1
"argentina",45,12,0,1
"argentina",45,12,0,1
"china",46,12,1,0
"china",46,12,1,0
"china",46,12,1,0
"china",46,12,1,0
"china",46,12,1,0
"china",46,12,0,1
"china",46,12,0,1
"china",46,12,0,1
"china",46,12,0,1
"china",46,12,0,1
"china",46,12,0,1
"china",46,12,0,1
"china",47,12,1,0
"china",47,12,1,0
"china",47,12,1,0
"china",47,12,1,0
"china",47,12,0,1
"china",47,12,0,1
"china",47,12,0,1
"china",47,12,0,1
"china",47,12,0,1
"china",47,12,0,1
"china",47,12,0,1
"china",47,12,0,1
"china",48,12,1,0
"china",48,12,0,1
"china",48,12,0,1
"china",48,12,0,1
"china",48,12,0,1
"china",48,12,0,1
"china",48,12,0,1
"china",48,12,0,1
"china",48,12,0,1
"china",48,12,0,1
"china",48,12,0,1
"china",48,12,0,1
"china",49,12,1,0
"china",49,12,1,0
"china",49,12,1,0
"china",49,12,1,0
"china",49,12,1,0
"china",49,12,1,0
"china",49,12,1,0
"china",49,12,0,1
"china",49,12,0,1
"china",49,12,0,1
"china",49,12,0,1
"china",49,12,0,1
"china",50,12,1,0
"china",50,12,1,0
"china",50,12,1,0
"china",50,12,1,0
"china",50,12,1,0
"china",50,12,0,1
"china",50,12,0,1
"china",50,12,0,1
"china",50,12,0,1
"china",50,12,0,1
"china",50,12,0,1
"china",50,12,0,1
"china",51,12,1,0
"china",51,12,1,0
"china",51,12,1,0
"china",51,12,0,1
"china",51,12,0,1
"china",51,12,0,1
"china",51,12,0,1
"china",51,12,0,1
"china",51,12,0,1
"china",51,12,0,1
"china",51,12,0,1
"china",51,12,0,1
"china",52,12,1,0
"china",52,12,1,0
"china",52,12,1,0
"china",52,12,1,0
"china",52,12,1,0
"china",52,12,1,0
"china",52,12,0,1
"china",52,12,0,1
"china",52,12,0,1
"china",52,12,0,1
"china",52,12,0,1
"china",52,12,0,1
"china",53,12,1,0
"china",53,12,1,0
"china",53,12,1,0
"china",53,12,1,0
"china",53,12,1,0
"china",53,12,0,1
"china",53,12,0,1
"china",53,12,0,1
"china",53,12,0,1
"china",53,12,0,1
"china",53,12,0,1
"china",53,12,0,1
"china",54,12,1,0
"china",54,12,1,0
"china",54,12,1,0
"china",54,12,1,0
"china",54,12,0,1
"china",54,12,0,1
"china",54,12,0,1
"china",54,12,0,1
"china",54,12,0,1
"china",54,12,0,1
"china",54,12,0,1
"china",54,12,0,1
"china",55,12,1,0
"china",55,12,1,0
"china",55,12,1,0
"china",55,12,1,0
"china",55,12,1,0
"china",55,12,1,0
"china",55,12,1,0
"china",55,12,0,1
"china",55,12,0,1
"china",55,12,0,1
"china",55,12,0,1
"china",55,12,0,1
"china",56,12,1,0
"china",56,12,1,0
"china",56,12,1,0
"china",56,12,1,0
"china",56,12,1,0
"china",56,12,1,0
"china",56,12,1,0
"china",56,12,1,0
"china",56,12,0,1
"china",56,12,0,1
"china",56,12,0,1
"china",56,12,0,1
"china",57,12,1,0
"china",57,12,1,0
"china",57,12,1,0
"china",57,12,1,0
"china",57,12,1,0
"china",57,12,1,0
"china",57,12,1,0
"china",57,12,1,0
"china",57,12,1,0
"china",57,12,1,0
"china",57,12,1,0
"china",57,12,0,1
"china",58,12,1,0
"china",58,12,1,0
"china",58,12,1,0
"china",58,12,1,0
"china",58,12,1,0
"china",58,12,0,1
"china",58,12,0,1
"china",58,12,0,1
"china",58,12,0,1
"china",58,12,0,1
"china",58,12,0,1
"china",58,12,0,1
"china",59,12,1,0
"china",59,12,1,0
"china",59,12,1,0
"china",59,12,1,0
"china",59,12,1,0
"china",59,12,1,0
"china",59,12,1,0
"china",59,12,1,0
"china",59,12,1,0
"china",59,12,1,0
"china",59,12,1,0
"china",59,12,1,0
"china",60,12,1,0
"china",60,12,1,0
"china",60,12,1,0
"china",60,12,0,1
"china",60,12,0,1
"china",60,12,0,1
"china",60,12,0,1
"china",60,12,0,1
"china",60,12,0,1
"china",60,12,0,1
"china",60,12,0,1
"china",60,12,0,1
